Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.722608,0.176769,0.6071,-0.279322,-137.097809,150.10463,-54.98616,-0.743196,-0.215986,-0.180216,0.607069,-134.783127,118.141899,-49.006317,0.819889,0.318589,0.071513,-0.470286,-129.176575,100.229156,-38.885345,0.523261,0.420171,0.740999,-0.023984,-115.777061,151.162399,72.72123,-0.177833,0.77288,-0.551769,-0.258037,-125.08123,118.747856,70.750397,-0.341947,0.690463,-0.567728,-0.289859,-124.002815,93.261971,67.114571
0.008,0.719771,0.181997,0.609814,-0.277368,-137.044769,150.083862,-54.954273,-0.744865,-0.216414,-0.178981,0.605233,-134.754929,118.163048,-48.904766,0.820376,0.318116,0.071484,-0.469761,-129.156036,100.27137,-38.769417,0.522942,0.419324,0.741732,-0.023077,-115.301285,151.136795,72.619255,-0.174537,0.775168,-0.550375,-0.256395,-124.673592,118.733154,70.633575,-0.340483,0.691541,-0.567937,-0.288601,-123.631546,93.266663,66.951088
0.016,0.719652,0.182408,0.60985,-0.277328,-137.04541,150.090088,-54.895176,-0.746561,-0.219241,-0.179699,0.601903,-134.732895,118.157211,-48.853634,0.820907,0.317757,0.071315,-0.469101,-129.136246,100.295769,-38.685173,0.522434,0.418795,0.7424,-0.022733,-114.81459,151.095551,72.544044,-0.173718,0.774911,-0.551009,-0.256368,-124.263336,118.710754,70.509102,-0.338053,0.692669,-0.56876,-0.287126,-123.236893,93.257896,66.79847
0.025,0.719598,0.182186,0.609791,-0.277743,-137.040863,150.106781,-54.829567,-0.747728,-0.220113,-0.179048,0.600329,-134.722,118.1707,-48.762695,0.821144,0.319043,0.071018,-0.467858,-129.102905,100.326851,-38.575432,0.52212,0.418445,0.742842,-0.021919,-114.250717,151.056473,72.428673,-0.166721,0.779445,-0.548424,-0.252785,-123.774826,118.706024,70.341446,-0.337539,0.693378,-0.568739,-0.286061,-122.799896,93.235001,66.641632
0.033,0.719571,0.182181,0.609751,-0.277905,-137.031311,150.131149,-54.769867,-0.74871,-0.219802,-0.178177,0.599478,-134.715195,118.188538,-48.678341,0.821147,0.319468,0.071332,-0.467514,-129.079285,100.37159,-38.476654,0.52158,0.417444,0.743826,-0.020462,-113.743607,150.994797,72.369019,-0.166254,0.780504,-0.546907,-0.253112,-123.338318,118.687164,70.237381,-0.334905,0.696076,-0.567243,-0.285573,-122.406029,93.213844,66.493942
0.041,0.720838,0.181033,0.608998,-0.277022,-137.01709,150.149063,-54.688965,-0.748212,-0.217252,-0.175745,0.601743,-134.699005,118.232239,-48.552399,0.821182,0.319292,0.071295,-0.467578,-129.064819,100.408241,-38.395866,0.52154,0.415877,0.744743,-0.020018,-113.218498,150.94754,72.280411,-0.165868,0.779731,-0.547971,-0.253446,-122.877502,118.645561,70.116341,-0.333375,0.696653,-0.567812,-0.284824,-121.987854,93.188782,66.342148
0.05,0.720713,0.18116,0.608605,-0.278126,-136.998749,150.177307,-54.625851,-0.748232,-0.216638,-0.175041,0.602144,-134.691971,118.25386,-48.472301,0.822107,0.319131,0.070108,-0.46624,-129.045609,100.439987,-38.294662,0.521563,0.414895,0.745277,-0.019886,-112.617401,150.882141,72.231087,-0.160976,0.782377,-0.546737,-0.251102,-122.353836,118.627319,69.964188,-0.333445,0.697306,-0.567131,-0.284502,-121.527328,93.181625,66.140305
0.058,0.721983,0.180026,0.60776,-0.277415,-136.987335,150.192535,-54.549152,-0.748856,-0.217013,-0.174327,0.60144,-134.678299,118.279442,-48.38961,0.822141,0.31898,0.069221,-0.466416,-129.022766,100.481499,-38.199013,0.519898,0.414657,0.746614,-0.018272,-112.054825,150.840286,72.155693,-0.161415,0.783309,-0.544543,-0.252676,-121.868217,118.597122,69.863457,-0.33263,0.699087,-0.565403,-0.284524,-121.114944,93.159805,65.988983
0.066,0.722778,0.179523,0.607129,-0.277052,-136.968414,150.21611,-54.475231,-0.748031,-0.218178,-0.174362,0.602035,-134.660843,118.328133,-48.31308,0.821615,0.318622,0.069312,-0.467572,-129.001923,100.523209,-38.119579,0.518952,0.412562,0.74847,-0.016521,-111.491081,150.779144,72.086449,-0.156312,0.78641,-0.542323,-0.25102,-121.372726,118.575645,69.728798,-0.332227,0.69678,-0.568407,-0.284669,-120.669411,93.134033,65.834084
0.075,0.724067,0.178974,0.605948,-0.276627,-136.944,150.242371,-54.3806,-0.74938,-0.216864,-0.173639,0.601041,-134.653976,118.338516,-48.236187,0.821707,0.318031,0.068256,-0.467969,-128.97905,100.553391,-38.039848,0.520153,0.414595,0.746505,-0.016801,-110.868546,150.695587,72.046661,-0.146417,0.791165,-0.53988,-0.247283,-120.807686,118.533279,69.609108,-0.330774,0.701301,-0.563589,-0.28484,-120.181152,93.12664,65.628487
