Format Version,1.23,Take Name,Take 2024-01-26 09.52.07 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-26 09.52.08.057 上午,Capture Start Frame,37478,Total Frames in Take,346,Total Exported Frames,346,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.959916,-0.086475,-0.179922,0.196753,-70.522591,152.865189,30.917707,-66.250854,152.222290,24.763893,-63.531200,155.556046,32.674320,-74.885338,153.122635,35.937412,-77.422974,150.559769,30.295198,0.518962,-0.175143,-0.420725,0.723183,-84.480354,127.998909,17.859749,-87.070236,133.095520,22.439623,-90.939041,129.590775,18.180923,-82.930916,122.512314,12.664568,-76.981239,126.797035,18.153862,0.684304,0.508640,-0.213139,-0.477059,-103.613731,117.484955,7.109671,-101.974380,120.230743,7.281703,-105.775856,114.969345,6.003751,-105.686119,119.822144,5.937162,-101.018570,114.917526,9.216081,-87.036064,133.100906,22.439093,-90.975746,129.577515,18.170597,-82.914719,122.537590,12.685779,-76.988449,126.776680,18.140549,-66.242706,152.221207,24.715086,-63.606972,155.534668,32.749226,-74.846703,153.153152,35.943787,-77.425964,150.544342,30.294397,-102.021202,120.096863,7.444767,-105.817070,114.867722,6.181376,-105.652023,119.911942,5.804328,-100.977005,115.034912,9.064973
7,0.058000,0.959889,-0.086463,-0.180079,0.196744,-70.521713,152.867523,30.919853,-66.251953,152.224655,24.764669,-63.529648,155.557983,32.674362,-74.882866,153.124985,35.940941,-77.422401,150.562454,30.299437,0.519145,-0.175190,-0.420617,0.723103,-84.481613,127.999435,17.861580,-87.073692,133.094543,22.441887,-90.940575,129.590546,18.180840,-82.929718,122.514404,12.665483,-76.982483,126.798264,18.158087,0.683942,0.508541,-0.213580,-0.477486,-103.612045,117.489838,7.102282,-101.973763,120.236328,7.273408,-105.774399,114.973709,5.998041,-105.687035,119.826569,5.933465,-101.012970,114.922714,9.204224,-87.036804,133.100296,22.439951,-90.976700,129.578217,18.171955,-82.914413,122.538437,12.684997,-76.988388,126.775978,18.144630,-66.243698,152.224121,24.714378,-63.606304,155.534836,32.748123,-74.839958,153.161285,35.953041,-77.425278,150.544769,30.295063,-102.020348,120.097397,7.442102,-105.818535,114.872314,6.177543,-105.652596,119.911156,5.804368,-100.977257,115.032532,9.067071
8,0.066000,0.959899,-0.086529,-0.180040,0.196701,-70.521492,152.865860,30.922010,-66.251122,152.222809,24.767267,-63.529289,155.555359,32.677452,-74.883179,153.123596,35.942627,-77.422394,150.561691,30.300695,0.518969,-0.175117,-0.420645,0.723231,-84.481926,128.000122,17.860634,-87.072899,133.096466,22.440184,-90.940910,129.590820,18.181515,-82.931297,122.513580,12.665757,-76.982590,126.799644,18.155056,0.683163,0.506293,-0.218707,-0.478667,-103.615913,117.488388,7.115930,-101.981750,120.238922,7.259071,-105.784592,114.963531,6.044465,-105.708252,119.816292,5.960496,-100.989067,114.934753,9.199698,-87.037369,133.102051,22.439951,-90.977493,129.578262,18.171383,-82.915123,122.538078,12.686570,-76.989586,126.778175,18.140778,-66.242867,152.221237,24.716646,-63.605457,155.533783,32.750111,-74.838943,153.160843,35.958366,-77.424843,150.544952,30.294624,-102.026787,120.104691,7.473486,-105.818237,114.870438,6.177004,-105.653633,119.910919,5.804187,-100.976166,115.032448,9.064526
9,0.075000,0.959905,-0.086475,-0.180162,0.196586,-70.521667,152.865509,30.922529,-66.252724,152.224136,24.766628,-63.529099,155.554642,32.677059,-74.882195,153.121857,35.944221,-77.422684,150.561401,30.302208,0.518969,-0.175140,-0.420678,0.723206,-84.481689,128.000290,17.860737,-87.072227,133.096771,22.440361,-90.940529,129.591553,18.181604,-82.931534,122.513687,12.665777,-76.982475,126.799103,18.155188,0.682800,0.507638,-0.216935,-0.478568,-103.613327,117.496399,7.105230,-101.981232,120.247444,7.261468,-105.776680,114.973152,6.019311,-105.702736,119.826141,5.948206,-100.992668,114.938805,9.191946,-87.036453,133.102768,22.439789,-90.976898,129.578812,18.171818,-82.915672,122.537979,12.685969,-76.989273,126.777664,18.141483,-66.242577,152.221756,24.712872,-63.605629,155.534088,32.747669,-74.837379,153.159485,35.962467,-77.424744,150.546051,30.296299,-102.029839,120.104919,7.473461,-105.818001,114.872726,6.174301,-105.653854,119.910286,5.805142,-100.976494,115.030434,9.069475
10,0.083000,0.959918,-0.086535,-0.180111,0.196542,-70.521454,152.864792,30.922863,-66.251747,152.223328,24.767490,-63.528816,155.553070,32.678486,-74.882607,153.121307,35.943993,-77.422630,150.561478,30.301485,0.519059,-0.175121,-0.420756,0.723101,-84.480927,128.000687,17.858583,-87.070724,133.096283,22.439632,-90.939529,129.592850,18.179865,-82.931557,122.515335,12.662080,-76.981888,126.798309,18.152733,0.683372,0.508155,-0.214901,-0.478120,-103.610359,117.496086,7.093199,-101.974426,120.244301,7.259041,-105.773476,114.977585,5.995831,-105.691360,119.830536,5.930523,-101.002182,114.931885,9.187412,-87.035080,133.101685,22.438967,-90.976151,129.579330,18.169374,-82.915550,122.540733,12.683328,-76.989594,126.777939,18.139502,-66.241440,152.220245,24.713650,-63.605263,155.533401,32.748241,-74.837700,153.159149,35.964794,-77.424171,150.546951,30.294804,-102.021667,120.096634,7.443009,-105.817329,114.869751,6.177736,-105.653618,119.913292,5.801768,-100.977776,115.030983,9.065284
11,0.091000,0.959950,-0.086689,-0.180080,0.196346,-70.519653,152.865021,30.918667,-66.249161,152.224106,24.763788,-63.526379,155.550308,32.676323,-74.881561,153.121429,35.939163,-77.421532,150.564316,30.295395,0.518953,-0.175032,-0.420800,0.723173,-84.480827,128.001114,17.859381,-87.069572,133.097198,22.440475,-90.939423,129.592972,18.182308,-82.932678,122.515121,12.663185,-76.981644,126.799164,18.151531,0.683654,0.505511,-0.219715,-0.478331,-103.613129,117.498108,7.101874,-101.977493,120.248222,7.236143,-105.784630,114.971802,6.039607,-105.706230,119.824310,5.944396,-100.984154,114.948067,9.187362,-87.034966,133.103119,22.439947,-90.975571,129.579681,18.172302,-82.916634,122.539902,12.683714,-76.989136,126.778648,18.138382,-66.242325,152.219406,24.716148,-63.603909,155.533310,32.749195,-74.836662,153.157990,35.964077,-77.421745,150.551315,30.285603,-102.027718,120.114914,7.462716,-105.816940,114.869965,6.177004,-105.651962,119.916298,5.798453,-100.975624,115.032616,9.063675
12,0.100000,0.959885,-0.086593,-0.180165,0.196631,-70.519310,152.865051,30.922768,-66.250351,152.221924,24.767059,-63.526199,155.552917,32.677097,-74.879898,153.123016,35.944321,-77.420807,150.562347,30.302589,0.519020,-0.174955,-0.420784,0.723153,-84.481506,128.001633,17.858908,-87.070656,133.096619,22.440990,-90.940269,129.592728,18.182325,-82.932930,122.516724,12.661690,-76.982185,126.800446,18.150604,0.683561,0.506925,-0.216678,-0.478354,-103.610741,117.497192,7.095699,-101.973450,120.245300,7.249347,-105.778648,114.976906,6.012012,-105.695473,119.829666,5.935732,-100.995399,114.936867,9.185716,-87.035141,133.102341,22.440235,-90.976242,129.578918,18.172029,-82.916748,122.542206,12.682770,-76.990845,126.780151,18.137533,-66.241547,152.219650,24.714827,-63.603409,155.532074,32.750519,-74.835609,153.159958,35.960796,-77.422867,150.546555,30.296761,-102.018867,120.098579,7.440989,-105.817619,114.870689,6.177402,-105.653831,119.916107,5.801411,-100.976967,115.034470,9.063773
13,0.108000,0.959869,-0.086522,-0.180120,0.196779,-70.518997,152.865875,30.921650,-66.249725,152.221954,24.766235,-63.526489,155.555664,32.675449,-74.879776,153.124313,35.943012,-77.419998,150.561584,30.301905,0.518988,-0.174919,-0.420745,0.723207,-84.481659,128.002350,17.859495,-87.071198,133.097412,22.441284,-90.940598,129.592651,18.183140,-82.932671,122.517204,12.662663,-76.982162,126.802155,18.150875,0.683837,0.508481,-0.213973,-0.477524,-103.610565,117.494987,7.093885,-101.973221,120.242157,7.263152,-105.772713,114.977730,5.991798,-105.687248,119.830612,5.925839,-101.009079,114.929436,9.194764,-87.035416,133.101898,22.440380,-90.977028,129.580322,18.172977,-82.917038,122.541870,12.683722,-76.988808,126.781425,18.137074,-66.240822,152.220184,24.715025,-63.604355,155.533966,32.748524,-74.835548,153.161194,35.958843,-77.422440,150.545227,30.296099,-102.020386,120.105957,7.429050,-105.816841,114.871025,6.175849,-105.652283,119.915413,5.799134,-100.975456,115.033783,9.063085
14,0.116000,0.959878,-0.086545,-0.180040,0.196800,-70.517906,152.866058,30.921942,-66.247643,152.221756,24.767256,-63.525665,155.555908,32.676712,-74.879494,153.124817,35.942585,-77.418816,150.561768,30.301216,0.519124,-0.174771,-0.420712,0.723165,-84.481827,128.004211,17.858488,-87.072220,133.097092,22.442215,-90.941093,129.593033,18.183031,-82.931938,122.521233,12.659639,-76.982071,126.805519,18.149052,0.684222,0.508421,-0.213710,-0.477155,-103.611229,117.491425,7.100147,-101.972473,120.237770,7.269057,-105.773880,114.974686,5.997829,-105.685600,119.827477,5.928878,-101.012970,114.925728,9.204836,-87.035492,133.102631,22.440733,-90.977020,129.580658,18.173780,-82.916222,122.545502,12.679733,-76.989021,126.783432,18.135080,-66.238976,152.220261,24.716316,-63.601856,155.534546,32.749100,-74.835358,153.160980,35.956470,-77.421921,150.545029,30.295948,-102.020348,120.108582,7.429519,-105.816635,114.867531,6.179527,-105.649773,119.916389,5.798657,-100.974907,115.033302,9.063532
15,0.125000,0.959848,-0.086410,-0.180141,0.196911,-70.516762,152.867310,30.920103,-66.248039,152.223129,24.764341,-63.524734,155.559235,32.672508,-74.877037,153.125763,35.941906,-77.417259,150.561157,30.301651,0.519181,-0.174810,-0.420705,0.723118,-84.482033,128.004868,17.856884,-87.072769,133.097427,22.440767,-90.941261,129.593964,18.180748,-82.931747,122.522293,12.657703,-76.982368,126.805756,18.148298,0.684750,0.508510,-0.212881,-0.476673,-103.615227,117.485023,7.108466,-101.974060,120.229767,7.279774,-105.778252,114.970139,6.002674,-105.684998,119.822815,5.932527,-101.023613,114.917328,9.218902,-87.035217,133.103088,22.438795,-90.977516,129.581833,18.171867,-82.916245,122.546387,12.677442,-76.988434,126.782860,18.134216,-66.239586,152.222244,24.714180,-63.603283,155.536026,32.747002,-74.833939,153.162033,35.955009,-77.419907,150.543884,30.296854,-102.020500,120.107735,7.429332,-105.816818,114.868675,6.178916,-105.652527,119.913902,5.802516,-100.975548,115.034424,9.060483
