Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.740719,0.182209,0.612418,-0.207557,-120.165459,152.157043,-61.811848,-0.743053,-0.127871,-0.216449,0.620218,-120.694519,119.470146,-54.387962,-0.772685,-0.206502,-0.186513,0.570551,-120.037476,97.271225,-48.52977,0.229324,0.361966,0.603335,0.672591,155.193848,122.674561,36.795685,-0.418778,-0.591381,0.663795,0.185119,123.342575,111.898384,36.014038,0,0,0,1,0,0,0
0.008,0.740526,0.18228,0.612684,-0.207397,-120.167252,152.153809,-61.814262,-0.743456,-0.128224,-0.216618,0.619603,-120.694717,119.463684,-54.38699,-0.77232,-0.206367,-0.186865,0.570978,-120.051834,97.257835,-48.539536,0.229319,0.362179,0.603294,0.672514,155.176254,122.682259,36.790508,-0.418828,-0.592454,0.663009,0.184392,123.322273,111.903343,36.017334,0,0,0,1,0,0,0
0.016,0.740338,0.182352,0.612852,-0.207507,-120.162857,152.149963,-61.811924,-0.743443,-0.128419,-0.216833,0.619503,-120.694839,119.459167,-54.389202,-0.771961,-0.207062,-0.186654,0.571281,-120.061432,97.250328,-48.541611,0.229415,0.361921,0.603418,0.672509,155.158005,122.685028,36.786022,-0.419548,-0.592344,0.662912,0.183455,123.300323,111.910942,36.017593,0,0,0,1,0,0,0
0.025,0.740166,0.182484,0.613007,-0.20755,-120.160469,152.145447,-61.812019,-0.743495,-0.128578,-0.217035,0.619338,-120.695137,119.455841,-54.389339,-0.771812,-0.20737,-0.186733,0.571345,-120.065544,97.245941,-48.54171,0.229274,0.361784,0.603462,0.672592,155.141129,122.691727,36.781467,-0.419843,-0.59258,0.66263,0.183037,123.280624,111.911644,36.019215,0,0,0,1,0,0,0
0.033,0.739933,0.182552,0.613288,-0.207491,-120.159233,152.142227,-61.811852,-0.74344,-0.128549,-0.217108,0.619384,-120.695618,119.452393,-54.38887,-0.771817,-0.207763,-0.186938,0.571127,-120.065781,97.243431,-48.5406,0.229041,0.362207,0.603415,0.672485,155.121002,122.698357,36.771172,-0.419986,-0.59241,0.662684,0.183065,123.264374,111.913666,36.018654,0,0,0,1,0,0,0
0.041,0.739766,0.18279,0.613431,-0.207455,-120.157097,152.139633,-61.81118,-0.743411,-0.128653,-0.21726,0.619343,-120.694199,119.449402,-54.388802,-0.771926,-0.207809,-0.187184,0.570884,-120.066917,97.24054,-48.540531,0.228808,0.36218,0.603423,0.672573,155.103455,122.705963,36.764957,-0.420178,-0.592416,0.66263,0.182799,123.247589,111.915695,36.019032,0,0,0,1,0,0,0
0.05,0.739749,0.182786,0.613403,-0.207598,-120.151649,152.136307,-61.808514,-0.74423,-0.129559,-0.217682,0.618022,-120.691422,119.453239,-54.380619,-0.772412,-0.208012,-0.187009,0.57021,-120.065414,97.246101,-48.531555,0.228615,0.362037,0.603517,0.672631,155.079147,122.711647,36.75843,-0.420497,-0.592498,0.662566,0.182031,123.2286,111.915886,36.017422,0,0,0,1,0,0,0
0.058,0.739617,0.182946,0.613507,-0.207621,-120.148109,152.134933,-61.806713,-0.744399,-0.129706,-0.217807,0.617743,-120.689308,119.453133,-54.377705,-0.772394,-0.208187,-0.187136,0.570128,-120.065308,97.242935,-48.530804,0.228256,0.361984,0.60358,0.672725,155.062057,122.720703,36.75502,-0.420492,-0.592533,0.66266,0.181584,123.212029,111.916054,36.016663,0,0,0,1,0,0,0
0.066,0.739684,0.182746,0.613491,-0.207606,-120.144913,152.132278,-61.805046,-0.743489,-0.129257,-0.217914,0.618894,-120.690575,119.444725,-54.385002,-0.772314,-0.208267,-0.187358,0.570134,-120.068588,97.241005,-48.531296,0.228135,0.361977,0.603577,0.672772,155.038635,122.729507,36.746368,-0.420549,-0.592645,0.662625,0.181214,123.196541,111.915504,36.015381,0,0,0,1,0,0,0
0.075,0.739554,0.182916,0.613585,-0.207642,-120.140747,152.13121,-61.803646,-0.744002,-0.129675,-0.217986,0.618165,-120.689751,119.44915,-54.381222,-0.772151,-0.20841,-0.187552,0.570239,-120.073128,97.239304,-48.531685,0.228709,0.361965,0.603709,0.672465,155.021912,122.740364,36.747013,-0.420583,-0.592778,0.662619,0.180721,123.181427,111.914825,36.014111,0,0,0,1,0,0,0
