Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.734597,0.171059,0.634083,-0.170423,-116.899635,152.570984,-63.111347,-0.710169,-0.149835,-0.281653,0.6276,-119.136063,120.1427,-55.007053,-0.781723,-0.187859,-0.203369,0.558801,-119.555405,97.883675,-49.073429,0.528955,0.381734,0.753116,-0.08546,-123.887207,151.195969,76.119873,-0.227836,0.780753,-0.516256,-0.268319,-132.001892,118.495415,72.470284,-0.33629,0.730044,-0.534038,-0.262199,-129.815262,93.498436,66.558876
0.008,0.733961,0.178524,0.635543,-0.159733,-116.944679,152.700974,-63.133587,-0.728397,-0.125649,-0.26453,0.619414,-119.210007,120.156624,-54.879677,-0.781964,-0.189193,-0.202597,0.558295,-119.544792,97.866875,-49.071728,0.528751,0.381792,0.753283,-0.084983,-123.877098,151.210907,76.130447,-0.22807,0.78126,-0.51562,-0.267867,-131.99881,118.51268,72.468391,-0.355914,0.724122,-0.525178,-0.270482,-129.930756,93.638382,66.292938
0.016,0.732881,0.179588,0.636803,-0.15848,-116.97731,152.707825,-63.149132,-0.730584,-0.123644,-0.261969,0.61833,-119.219711,120.142303,-54.869301,-0.782109,-0.18942,-0.202785,0.557945,-119.53466,97.857979,-49.071266,0.528468,0.382088,0.75339,-0.084461,-123.867607,151.227112,76.145508,-0.229214,0.780974,-0.515576,-0.267811,-131.998077,118.5354,72.468658,-0.373909,0.720683,-0.515318,-0.274328,-130.023346,93.810135,66.041527
0.025,0.733184,0.179252,0.636427,-0.158967,-116.975998,152.697906,-63.156319,-0.730488,-0.124695,-0.261359,0.618491,-119.21917,120.131218,-54.87075,-0.782101,-0.189445,-0.203058,0.55785,-119.521568,97.848984,-49.068054,0.528256,0.382376,0.753442,-0.084023,-123.858932,151.246094,76.161613,-0.228815,0.782237,-0.514284,-0.266948,-132.003632,118.559738,72.487198,-0.365126,0.721279,-0.523232,-0.26957,-129.880478,93.771095,66.089111
0.033,0.733306,0.179172,0.636237,-0.159253,-116.979584,152.691727,-63.165302,-0.730549,-0.124836,-0.261395,0.618374,-119.222557,120.123993,-54.877769,-0.782173,-0.18969,-0.203234,0.557601,-119.507805,97.83667,-49.065098,0.528093,0.382758,0.753403,-0.083653,-123.853073,151.265793,76.179146,-0.228323,0.783019,-0.513791,-0.266023,-131.999222,118.586861,72.486725,-0.35579,0.722501,-0.531642,-0.262228,-129.729584,93.72467,66.156937
0.041,0.733809,0.178167,0.63602,-0.158931,-116.98307,152.688309,-63.1805,-0.730484,-0.124848,-0.261575,0.618372,-119.227913,120.116661,-54.884796,-0.782789,-0.190044,-0.203633,0.55647,-119.493279,97.823235,-49.069237,0.527733,0.383173,0.753457,-0.08354,-123.844238,151.290588,76.207611,-0.228436,0.783659,-0.512991,-0.265584,-131.99469,118.613922,72.486267,-0.36041,0.7278,-0.518984,-0.266585,-129.816589,93.853447,65.919159
0.05,0.733867,0.178095,0.635928,-0.159113,-116.989113,152.682465,-63.188236,-0.730296,-0.124834,-0.261729,0.618532,-119.232689,120.109497,-54.891449,-0.782274,-0.19024,-0.203803,0.557064,-119.477165,97.811607,-49.059208,0.526747,0.38334,0.754123,-0.082988,-123.829208,151.318054,76.23391,-0.229452,0.783592,-0.512798,-0.26528,-131.987701,118.646149,72.480659,-0.361803,0.72776,-0.518295,-0.266147,-129.788177,93.920555,65.825066
0.058,0.733872,0.178008,0.63592,-0.159216,-116.994705,152.676987,-63.195507,-0.730301,-0.124889,-0.261675,0.618538,-119.235207,120.102623,-54.899597,-0.782073,-0.190208,-0.204122,0.55724,-119.457939,97.793335,-49.0541,0.526376,0.383075,0.754585,-0.082367,-123.821808,151.340942,76.259109,-0.23128,0.783459,-0.512189,-0.265262,-131.980789,118.680046,72.470543,-0.362347,0.72751,-0.518792,-0.265119,-129.755371,93.972931,65.792336
0.066,0.733858,0.177971,0.635917,-0.159338,-116.998497,152.671234,-63.203411,-0.730375,-0.125251,-0.261463,0.618467,-119.236389,120.095268,-54.908241,-0.781949,-0.190394,-0.204348,0.557269,-119.446327,97.779671,-49.053955,0.52638,0.382763,0.754772,-0.08207,-123.819054,151.361938,76.285042,-0.231246,0.783994,-0.511498,-0.265046,-131.974197,118.709709,72.4674,-0.36366,0.727153,-0.519095,-0.263703,-129.723999,94.019707,65.740433
0.075,0.733636,0.178116,0.636085,-0.159529,-117.005836,152.664093,-63.210106,-0.730487,-0.12578,-0.261283,0.618304,-119.237709,120.088982,-54.918583,-0.782038,-0.190842,-0.204525,0.556925,-119.441666,97.770294,-49.062614,0.52699,0.381746,0.75483,-0.082365,-123.817657,151.393524,76.303749,-0.231126,0.784789,-0.510585,-0.264558,-131.965332,118.742859,72.464111,-0.37567,0.721051,-0.518994,-0.263825,-129.711548,94.092972,65.613144
