Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.771105,0.134678,0.582082,-0.22009,-71.108429,152.224701,-58.763897,-0.72743,-0.090613,-0.189369,0.65328,-72.62809,119.174942,-52.521439,-0.778476,-0.17582,-0.17103,0.577764,-72.060387,96.902412,-46.955006,0.558948,0.331273,0.754222,-0.094789,-61.615952,151.917999,82.511139,-0.239142,0.767913,-0.521345,-0.285166,-70.370117,118.531204,78.770035,-0.395937,0.696855,-0.521408,-0.292848,-68.533607,93.585411,72.742935
0.008,0.771124,0.134556,0.582124,-0.219987,-71.098366,152.224213,-58.73391,-0.733243,-0.086519,-0.188391,0.647594,-72.656265,119.149269,-52.463509,-0.778697,-0.175156,-0.170476,0.577831,-72.052795,96.899506,-46.96085,0.558426,0.330964,0.754951,-0.093124,-61.616943,151.90802,82.508514,-0.239297,0.767198,-0.522479,-0.284884,-70.376694,118.536804,78.76133,-0.395738,0.697091,-0.521239,-0.292858,-68.537392,93.580994,72.745384
0.016,0.770735,0.134505,0.582091,-0.221463,-71.091225,152.233444,-58.699875,-0.733713,-0.086306,-0.187897,0.647234,-72.650345,119.148346,-52.445782,-0.778713,-0.174902,-0.170215,0.577964,-72.044609,96.896233,-46.95911,0.558365,0.331446,0.75479,-0.093081,-61.618912,151.902634,82.508293,-0.240696,0.766912,-0.522094,-0.285182,-70.379326,118.526985,78.775909,-0.395616,0.697208,-0.521192,-0.292829,-68.541695,93.580582,72.74556
0.025,0.770464,0.134351,0.581992,-0.222754,-71.081863,152.244812,-58.661289,-0.733642,-0.08572,-0.187693,0.647451,-72.645988,119.146027,-52.434055,-0.778792,-0.174521,-0.170032,0.578027,-72.035233,96.8909,-46.958248,0.558335,0.331637,0.754728,-0.093083,-61.622982,151.902603,82.508018,-0.240421,0.767218,-0.521793,-0.285144,-70.383087,118.526039,78.773941,-0.395695,0.69687,-0.521593,-0.29281,-68.542877,93.579323,72.750656
0.033,0.7706,0.134279,0.58189,-0.222598,-71.077881,152.248352,-58.630299,-0.733591,-0.085256,-0.187436,0.647644,-72.643074,119.143387,-52.423489,-0.778629,-0.174115,-0.169589,0.578499,-72.029099,96.890419,-46.960754,0.55846,0.331045,0.754924,-0.092848,-61.631126,151.904419,82.504944,-0.240766,0.766299,-0.522979,-0.28515,-70.387939,118.526878,78.767105,-0.395498,0.696781,-0.521882,-0.292775,-68.543991,93.576233,72.754807
0.041,0.770322,0.134685,0.581974,-0.223091,-71.076942,152.248871,-58.587414,-0.733539,-0.085148,-0.187391,0.64773,-72.639076,119.143486,-52.411175,-0.77854,-0.173653,-0.169277,0.578849,-72.023865,96.88755,-46.964237,0.558963,0.331139,0.754404,-0.093711,-61.635399,151.910034,82.503151,-0.240844,0.766026,-0.523294,-0.285239,-70.389183,118.528618,78.762321,-0.395533,0.696706,-0.521995,-0.292703,-68.543686,93.576164,72.755363
0.05,0.770317,0.134971,0.581869,-0.22321,-71.07386,152.250885,-58.5588,-0.733415,-0.084744,-0.187296,0.647952,-72.637238,119.143227,-52.399178,-0.778472,-0.173448,-0.169249,0.57901,-72.020523,96.879311,-46.966808,0.558957,0.330984,0.754481,-0.093678,-61.638515,151.916504,82.503708,-0.238959,0.767129,-0.522725,-0.284905,-70.390549,118.535233,78.748093,-0.394882,0.697681,-0.521245,-0.292598,-68.546089,93.582611,72.746834
0.058,0.770519,0.134612,0.58172,-0.223117,-71.06852,152.256226,-58.535618,-0.733259,-0.084274,-0.187093,0.648248,-72.635269,119.142342,-52.38903,-0.778238,-0.172876,-0.168709,0.579653,-72.019455,96.881065,-46.974327,0.558911,0.330881,0.754582,-0.093506,-61.646301,151.919556,82.499161,-0.240269,0.766103,-0.523505,-0.285132,-70.392014,118.532646,78.752357,-0.395147,0.697507,-0.521369,-0.292435,-68.543999,93.582527,72.74836
0.066,0.771135,0.13321,0.581274,-0.222993,-71.062431,152.266876,-58.491306,-0.733131,-0.084111,-0.187072,0.64842,-72.630684,119.143852,-52.377312,-0.778162,-0.172649,-0.168725,0.579818,-72.017517,96.876343,-46.977173,0.558918,0.330726,0.754663,-0.093359,-61.650795,151.922729,82.495049,-0.240365,0.766024,-0.523639,-0.285017,-70.394623,118.535828,78.748138,-0.394944,0.697687,-0.521328,-0.29235,-68.545296,93.58609,72.743622
0.075,0.771241,0.132991,0.58114,-0.223109,-71.054443,152.272629,-58.466362,-0.732887,-0.083659,-0.186879,0.64881,-72.626556,119.144844,-52.366783,-0.778095,-0.172449,-0.168924,0.579909,-72.018623,96.868851,-46.978836,0.55881,0.330667,0.754796,-0.093132,-61.654068,151.927338,82.49498,-0.240496,0.766167,-0.523378,-0.285002,-70.396645,118.538574,78.748528,-0.39512,0.697321,-0.521734,-0.292262,-68.544525,93.59053,72.739899
0.083,0.77143,0.132827,0.580965,-0.223007,-71.049187,152.277267,-58.449673,-0.732742,-0.08325,-0.18674,0.649066,-72.62487,119.146957,-52.356647,-0.777876,-0.172063,-0.168735,0.580372,-72.022194,96.868385,-46.982689,0.558774,0.330852,0.754759,-0.092991,-61.658554,151.92984,82.492973,-0.238975,0.767283,-0.522819,-0.284304,-70.400711,118.545135,78.739052,-0.394818,0.697731,-0.521463,-0.292176,-68.543053,93.591537,72.740379
0.091,0.772504,0.132026,0.579917,-0.222492,-71.054893,152.283401,-58.412136,-0.732802,-0.083264,-0.186752,0.648994,-72.622314,119.151344,-52.344112,-0.777673,-0.171677,-0.168175,0.580921,-72.028053,96.870338,-46.987118,0.558598,0.330811,0.754938,-0.092736,-61.663525,151.934296,82.491074,-0.238922,0.767563,-0.522536,-0.284111,-70.407272,118.5504,78.734909,-0.394748,0.697878,-0.521371,-0.292084,-68.543961,93.596992,72.734413
0.1,0.772731,0.132103,0.579592,-0.222507,-71.052856,152.286591,-58.39621,-0.732322,-0.082657,-0.186052,0.649813,-72.617134,119.154442,-52.328861,-0.777533,-0.171357,-0.168061,0.581235,-72.030403,96.869087,-46.987377,0.55809,0.330709,0.755454,-0.091961,-61.680317,151.939362,82.478149,-0.239086,0.767542,-0.522646,-0.283827,-70.410378,118.555222,78.732948,-0.394651,0.697926,-0.521466,-0.291931,-68.545113,93.601799,72.728577
