Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.596596,0.353927,0.641466,-0.327613,-87.827507,154.762192,-63.436024,-0.690089,-0.207441,-0.39131,0.572383,-92.920425,120.980904,-59.613358,0.760211,0.283195,0.358841,-0.461641,-96.689049,100.36763,-52.382362,0.606859,0.332314,0.718224,-0.073783,-84.167091,152.263092,80.840927,-0.271829,0.753082,-0.488922,-0.346312,-94.171234,119.168282,80.016777,-0.443484,0.691149,-0.462217,-0.33465,-93.482033,94.831474,72.269768
0.008,0.6559,0.1888,0.708588,-0.17903,-86.608261,153.472122,-63.065826,-0.69378,-0.20502,-0.386304,0.572193,-92.75312,120.935844,-59.308945,0.762289,0.282955,0.352382,-0.463334,-96.349686,100.26947,-52.079899,0.606422,0.332696,0.718422,-0.073724,-84.188911,152.260498,80.850288,-0.270835,0.753613,-0.488962,-0.345878,-94.177841,119.156921,80.027733,-0.443339,0.69099,-0.462867,-0.334272,-93.477318,94.813484,72.292549
0.016,0.662587,0.178198,0.707469,-0.169443,-86.582359,153.374893,-62.956734,-0.696382,-0.203571,-0.380357,0.573533,-92.597221,120.896187,-59.014725,0.76358,0.281874,0.345876,-0.466757,-95.986053,100.198273,-51.741062,0.606216,0.333001,0.718392,-0.074329,-84.205742,152.255112,80.864555,-0.270856,0.753528,-0.489397,-0.345432,-94.180115,119.147942,80.034012,-0.442711,0.691463,-0.462765,-0.334267,-93.471413,94.80027,72.312309
0.025,0.664663,0.178376,0.703948,-0.175679,-86.597771,153.389954,-62.765537,-0.698238,-0.20153,-0.37343,0.576541,-92.420555,120.850693,-58.694641,0.764916,0.280951,0.33901,-0.470152,-95.567032,100.128624,-51.353294,0.606078,0.332923,0.718515,-0.074616,-84.221642,152.247604,80.874931,-0.270343,0.753747,-0.489668,-0.344972,-94.186539,119.135544,80.047073,-0.437162,0.696766,-0.459757,-0.334709,-93.490509,94.793884,72.324066
0.033,0.667076,0.175203,0.701956,-0.177684,-86.605141,153.407379,-62.557972,-0.700545,-0.199342,-0.367754,0.57815,-92.268295,120.814644,-58.409576,0.766742,0.27909,0.333669,-0.472102,-95.233383,100.068405,-51.059788,0.60588,0.332851,0.718683,-0.074935,-84.239128,152.245148,80.885483,-0.270331,0.753427,-0.490339,-0.344726,-94.192795,119.125107,80.060287,-0.431078,0.701961,-0.457274,-0.335146,-93.51326,94.786858,72.341652
0.041,0.6694,0.173415,0.699721,-0.179501,-86.613808,153.419418,-62.394203,-0.702245,-0.197685,-0.361571,0.580551,-92.122108,120.787048,-58.138908,0.767846,0.277769,0.327933,-0.475096,-94.895348,100.012733,-50.752346,0.605712,0.333145,0.718659,-0.075206,-84.260902,152.242462,80.89917,-0.270481,0.753441,-0.490432,-0.344446,-94.201515,119.114044,80.080437,-0.444012,0.689978,-0.463687,-0.334331,-93.453911,94.751923,72.422478
0.05,0.671546,0.173369,0.697711,-0.179356,-86.612778,153.417725,-62.235355,-0.704288,-0.195916,-0.354817,0.582838,-91.953865,120.747169,-57.83831,0.770437,0.275698,0.322236,-0.476007,-94.558594,99.939583,-50.473392,0.605586,0.332926,0.718868,-0.0752,-84.28112,152.237564,80.907227,-0.269559,0.754159,-0.490117,-0.344045,-94.212219,119.105003,80.108185,-0.447467,0.684295,-0.470212,-0.332288,-93.403313,94.703682,72.522957
0.058,0.674198,0.172926,0.695103,-0.179962,-86.61834,153.419754,-62.071461,-0.707118,-0.195154,-0.349412,0.582933,-91.814598,120.716568,-57.582329,0.77104,0.274846,0.315783,-0.479831,-94.215202,99.902237,-50.160851,0.605395,0.332679,0.719158,-0.075058,-84.298912,152.233597,80.913216,-0.267834,0.75536,-0.489533,-0.34359,-94.229591,119.099472,80.12841,-0.445633,0.686043,-0.46863,-0.333379,-93.416939,94.702682,72.553024
0.066,0.678288,0.171971,0.691387,-0.179821,-86.63533,153.410507,-61.906033,-0.708471,-0.190892,-0.343272,0.586338,-91.678345,120.694733,-57.322266,0.772109,0.273174,0.309888,-0.482901,-93.91655,99.845497,-49.892792,0.60534,0.332249,0.719395,-0.075135,-84.317902,152.218674,80.907104,-0.267949,0.754714,-0.490603,-0.343394,-94.235435,119.089577,80.153206,-0.440333,0.69084,-0.466377,-0.333674,-93.442963,94.69342,72.588188
0.075,0.681983,0.171882,0.687353,-0.181389,-86.646904,153.406555,-61.728661,-0.71102,-0.188827,-0.336863,0.587638,-91.515419,120.674202,-57.024651,0.773383,0.2711,0.304312,-0.485569,-93.603577,99.784363,-49.633305,0.605347,0.331948,0.719499,-0.075412,-84.334579,152.210373,80.912941,-0.268556,0.753719,-0.491787,-0.343412,-94.248131,119.084297,80.185722,-0.441041,0.689607,-0.467608,-0.333568,-93.428917,94.666428,72.68277
0.083,0.683696,0.171768,0.685303,-0.182797,-86.64727,153.401352,-61.583241,-0.712986,-0.186689,-0.330462,0.589569,-91.382858,120.650803,-56.788593,0.774511,0.270497,0.297645,-0.488233,-93.244431,99.754227,-49.313648,0.605008,0.332044,0.719749,-0.075319,-84.355499,152.205658,80.912437,-0.268967,0.752766,-0.493047,-0.343372,-94.259399,119.075516,80.218781,-0.439521,0.689486,-0.469586,-0.333047,-93.446007,94.642708,72.754707
0.091,0.686764,0.169965,0.682345,-0.184046,-86.665329,153.410461,-61.420685,-0.714947,-0.183665,-0.32572,0.590784,-91.255173,120.634331,-56.532551,0.776277,0.266906,0.292442,-0.490544,-92.955856,99.723366,-49.064468,0.604777,0.33213,0.719903,-0.075335,-84.374069,152.204208,80.915939,-0.268566,0.752177,-0.494197,-0.343324,-94.273087,119.072655,80.246895,-0.434092,0.694047,-0.467323,-0.333874,-93.488625,94.641731,72.798576
