Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.744336,0.182648,0.609094,-0.203983,-123.082542,152.568954,-57.049667,-0.616072,-0.19682,-0.25422,0.71909,-123.376205,119.499924,-52.535843,-0.744394,-0.208573,-0.224288,0.593355,-123.922058,96.798019,-47.642586,0.542898,0.344876,0.759957,-0.093748,-120.595062,151.756805,77.07431,-0.359523,0.726831,-0.490426,-0.319284,-129.686417,119.291245,71.169868,-0.437683,0.66361,-0.544606,-0.26732,-126.579872,94.220215,65.705055
0.008,0.746228,0.183678,0.610327,-0.192111,-123.110855,152.617218,-57.074196,-0.700412,-0.154663,-0.259889,0.646499,-123.93631,119.490562,-51.744438,-0.74449,-0.20849,-0.223998,0.593373,-123.927925,96.799507,-47.653873,0.542188,0.344932,0.760555,-0.092795,-120.565819,151.767899,77.036156,-0.237731,0.782228,-0.519765,-0.247887,-128.825058,118.944595,71.834007,-0.403759,0.692012,-0.545973,-0.244972,-126.245178,94.242996,65.819542
0.016,0.746285,0.183638,0.610436,-0.191579,-123.117935,152.618164,-57.075768,-0.715242,-0.146442,-0.261813,0.631219,-124.036179,119.496658,-51.594208,-0.744391,-0.207897,-0.223578,0.593863,-123.93235,96.798286,-47.655952,0.541675,0.345213,0.760887,-0.092026,-120.541595,151.774292,77.001663,-0.185992,0.801667,-0.524252,-0.218853,-128.570938,118.805443,72.08918,-0.401246,0.694387,-0.545511,-0.243405,-126.215378,94.260323,65.799232
0.025,0.746403,0.183457,0.610328,-0.191641,-123.123932,152.616272,-57.073776,-0.716645,-0.14558,-0.261935,0.629775,-124.050835,119.496941,-51.584774,-0.744454,-0.207801,-0.223405,0.593883,-123.936722,96.794739,-47.656448,0.541144,0.345423,0.761271,-0.091179,-120.516396,151.781631,76.962387,-0.185616,0.802325,-0.523382,-0.218844,-128.556686,118.821083,72.038101,-0.39307,0.692292,-0.555723,-0.239583,-126.09465,94.165466,65.904045
0.033,0.746472,0.183371,0.610276,-0.191618,-123.128685,152.614426,-57.073601,-0.716188,-0.145989,-0.261912,0.63021,-124.046967,119.49234,-51.583759,-0.744491,-0.207668,-0.223448,0.593868,-123.937759,96.79248,-47.657284,0.540427,0.346009,0.761606,-0.090408,-120.487,151.78775,76.928177,-0.188698,0.799938,-0.524413,-0.222448,-128.581528,118.833336,71.979507,-0.391281,0.693317,-0.556263,-0.23829,-126.065079,94.167046,65.895401
0.041,0.746287,0.183297,0.610552,-0.19153,-123.14296,152.612305,-57.08012,-0.716271,-0.145739,-0.261706,0.630259,-124.0494,119.49054,-51.580715,-0.744535,-0.20756,-0.223626,0.593782,-123.937202,96.787956,-47.655899,0.539718,0.346044,0.762144,-0.089964,-120.459625,151.791855,76.894249,-0.185292,0.802608,-0.522232,-0.220817,-128.562347,118.854309,71.915352,-0.388034,0.695068,-0.55686,-0.237101,-126.028503,94.160675,65.886322
0.05,0.746191,0.183416,0.610601,-0.191636,-123.150726,152.609299,-57.082272,-0.716147,-0.145735,-0.261601,0.630445,-124.054993,119.48732,-51.579327,-0.744552,-0.206929,-0.224116,0.593797,-123.92807,96.774681,-47.649387,0.538846,0.345945,0.762836,-0.089708,-120.428444,151.797211,76.856766,-0.183477,0.804381,-0.520712,-0.219467,-128.527954,118.864441,71.864952,-0.383353,0.697979,-0.557318,-0.235081,-125.974808,94.150734,65.890877
0.058,0.74623,0.18335,0.610586,-0.191592,-123.155426,152.60791,-57.084488,-0.716027,-0.145684,-0.261506,0.630632,-124.058174,119.487358,-51.578758,-0.744639,-0.206868,-0.224054,0.593733,-123.932137,96.774582,-47.651474,0.53822,0.346318,0.763135,-0.089492,-120.403992,151.799362,76.82769,-0.182586,0.804198,-0.521585,-0.218807,-128.507645,118.869637,71.826889,-0.377997,0.70104,-0.557706,-0.233722,-125.924423,94.130035,65.893845
0.066,0.746138,0.183452,0.610633,-0.191705,-123.162369,152.604767,-57.085182,-0.715739,-0.14559,-0.261293,0.631068,-124.063721,119.486389,-51.579422,-0.74455,-0.206679,-0.224223,0.593846,-123.929337,96.7687,-47.646435,0.537773,0.346467,0.763407,-0.08928,-120.38475,151.8013,76.803528,-0.182037,0.803942,-0.522285,-0.218536,-128.483612,118.866074,71.799171,-0.371097,0.70575,-0.557003,-0.232275,-125.875473,94.106133,65.897209
0.075,0.746087,0.183585,0.610628,-0.191794,-123.169998,152.601593,-57.085865,-0.715695,-0.145679,-0.261218,0.631128,-124.068436,119.486031,-51.576187,-0.74448,-0.205341,-0.22605,0.593705,-123.908653,96.733688,-47.62402,0.537236,0.34638,0.763887,-0.088743,-120.366547,151.804108,76.775398,-0.181294,0.80416,-0.522458,-0.217937,-128.449203,118.858627,71.779694,-0.367182,0.707216,-0.558411,-0.230654,-125.83667,94.086472,65.911102
