Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,-0.51331,-0.324125,0.794641,-0.000918,-49.539635,147.236679,-19.248804,0,0,0,1,0,0,0,0.710171,0.423461,0.327335,-0.457372,-60.666573,90.573677,-10.024536,-0.546233,-0.000702,0.731954,-0.407274,-57.497246,142.347504,69.891457,0.230396,-0.623238,0.521372,0.535409,-71.610588,111.604416,85.451385,0.498483,-0.610261,0.33742,0.515018,-78.383408,85.930237,82.766403
0.008,-0.513081,-0.324448,0.794658,-0.000684,-49.550579,147.229858,-19.236244,0,0,0,1,0,0,0,0.709998,0.423153,0.327273,-0.45797,-60.681389,90.554337,-10.053337,-0.543048,-0.000982,0.734372,-0.40718,-57.547264,142.324127,69.608536,0.230846,-0.618978,0.521907,0.539619,-71.53907,111.687538,85.499847,0.498079,-0.606701,0.337727,0.519395,-78.339859,85.994705,83.100822
0.016,-0.512895,-0.32465,0.794695,-0.00059,-49.56144,147.225571,-19.22477,0,0,0,1,0,0,0,0.709887,0.422979,0.327025,-0.45848,-60.701256,90.533676,-10.086177,-0.539866,-0.00128,0.735831,-0.408773,-57.592285,142.299332,69.342384,0.231124,-0.614591,0.522923,0.543517,-71.451225,111.766922,85.549149,0.499171,-0.601955,0.339178,0.522911,-78.298744,86.048805,83.427895
0.025,-0.512548,-0.32501,0.794772,-0.000651,-49.57251,147.222702,-19.21246,0,0,0,1,0,0,0,0.710096,0.422167,0.32949,-0.457137,-60.721386,90.504074,-10.124985,-0.536386,-0.000529,0.737155,-0.410965,-57.616486,142.272812,69.028748,0.230193,-0.610711,0.523642,0.547579,-71.352058,111.861404,85.597626,0.50045,-0.597056,0.34015,0.526661,-78.258224,86.120041,83.779747
0.033,-0.512012,-0.325448,0.794938,-0.000513,-49.581337,147.219543,-19.203323,0,0,0,1,0,0,0,0.709654,0.422137,0.330631,-0.457029,-60.737198,90.4758,-10.167958,-0.533213,0.000071,0.738544,-0.412598,-57.646282,142.23674,68.743073,0.23075,-0.606283,0.524193,0.551723,-71.262131,111.960945,85.646515,0.497388,-0.595605,0.339389,0.531672,-78.196884,86.199242,84.085754
0.041,-0.511271,-0.326317,0.795059,-0.000617,-49.587589,147.216568,-19.199045,0,0,0,1,0,0,0,0.709705,0.421132,0.330791,-0.457759,-60.75042,90.452286,-10.211882,-0.529359,0.000677,0.740547,-0.413967,-57.672726,142.203934,68.4645,0.231494,-0.601467,0.524917,0.555977,-71.161224,112.058846,85.696533,0.495902,-0.593043,0.337869,0.536866,-78.12886,86.284843,84.390762
0.05,-0.509791,-0.327298,0.795606,-0.000402,-49.596226,147.213577,-19.187757,0,0,0,1,0,0,0,0.709977,0.419763,0.331305,-0.458224,-60.75988,90.431976,-10.261694,-0.525701,0.000565,0.742102,-0.415839,-57.70541,142.173645,68.151138,0.231877,-0.596238,0.525761,0.560633,-71.036949,112.166092,85.745583,0.495694,-0.588968,0.336412,0.542431,-78.050766,86.389069,84.729195
0.058,-0.50901,-0.327802,0.795898,0.000106,-49.605488,147.208649,-19.175213,0,0,0,1,0,0,0,0.709753,0.419076,0.331566,-0.45901,-60.775249,90.414124,-10.303201,-0.521594,0.000106,0.743673,-0.418199,-57.723461,142.144455,67.875031,0.231994,-0.59153,0.526125,0.565211,-70.918015,112.262466,85.790016,0.496315,-0.584806,0.334738,0.547379,-77.970726,86.471626,85.013977
0.066,-0.508738,-0.327934,0.796018,0.000073,-49.614136,147.206436,-19.165712,0,0,0,1,0,0,0,0.709072,0.418509,0.331476,-0.460642,-60.795914,90.392715,-10.347406,-0.518124,0.000723,0.74522,-0.419756,-57.736778,142.106247,67.605881,0.234557,-0.585314,0.526223,0.570509,-70.807938,112.359619,85.829285,0.495435,-0.581279,0.332392,0.55333,-77.889359,86.570259,85.300621
0.075,-0.508231,-0.328468,0.796122,0.000261,-49.625519,147.199738,-19.159988,0,0,0,1,0,0,0,0.708962,0.417331,0.332132,-0.461406,-60.817547,90.367577,-10.400506,-0.514487,0.002804,0.746455,-0.422019,-57.755627,142.061478,67.308334,0.236442,-0.578827,0.525321,0.577143,-70.69381,112.462532,85.873314,0.496705,-0.575516,0.3308,0.559139,-77.783897,86.649681,85.615807
