Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.767171,0.138807,0.591376,-0.206047,-118.553474,151.944016,-60.163094,-0.740477,-0.089265,-0.217578,0.629592,-120.404755,119.04837,-53.736496,-0.778765,-0.179284,-0.185988,0.571657,-120.589043,96.798203,-48.357792,0.89642,0.220296,-0.062352,-0.379491,-14.257452,150.112961,105.595818,0.573076,-0.10605,0.13487,0.801341,-7.072745,118.413055,114.628052,0.659233,-0.029705,-0.033567,0.750601,-8.183553,92.643768,116.464806
0.008,0.765269,0.13781,0.594064,-0.206059,-118.484787,151.959534,-60.259201,-0.745873,-0.082199,-0.215984,0.624714,-120.427071,119.071281,-53.781879,-0.777984,-0.181093,-0.186981,0.571825,-120.578133,96.793312,-48.466591,0.897567,0.218917,-0.062436,-0.377558,-14.564432,150.077606,105.340347,0.574984,-0.104414,0.134562,0.80024,-7.359265,118.421471,114.465973,0.658283,-0.029774,-0.033881,0.751418,-8.429311,92.670235,116.388634
0.016,0.765394,0.136647,0.594379,-0.20546,-118.445168,151.95491,-60.278095,-0.745577,-0.082613,-0.217131,0.624615,-120.41272,119.072426,-53.883518,-0.777347,-0.182224,-0.188667,0.571779,-120.587791,96.79409,-48.570625,0.898387,0.21812,-0.063312,-0.37592,-14.865602,150.044769,105.063316,0.571873,-0.104129,0.135642,0.802321,-7.683827,118.400482,114.301476,0.657309,-0.028994,-0.033456,0.75232,-8.676365,92.695389,116.304329
0.025,0.763611,0.136642,0.596413,-0.206202,-118.39521,151.972504,-60.335384,-0.744982,-0.084152,-0.218962,0.624481,-120.397095,119.079315,-53.990723,-0.7767,-0.183124,-0.189853,0.571977,-120.580933,96.798317,-48.711945,0.899229,0.216215,-0.063954,-0.374898,-15.219264,150.007324,104.744652,0.570253,-0.103619,0.135997,0.80348,-8.07185,118.395851,114.121208,0.655795,-0.029026,-0.034849,0.753575,-9.063585,92.695518,116.21653
0.033,0.76247,0.136977,0.597797,-0.206192,-118.363403,151.981705,-60.360664,-0.743936,-0.08436,-0.220258,0.625243,-120.384491,119.084442,-54.0951,-0.775796,-0.18471,-0.192411,0.57184,-120.605659,96.793457,-48.844727,0.900066,0.214037,-0.06422,-0.374092,-15.526481,149.977081,104.452072,0.568012,-0.103441,0.136605,0.804985,-8.385853,118.384995,113.928566,0.655226,-0.027131,-0.033371,0.754207,-9.383038,92.658356,116.118301
0.041,0.759775,0.138324,0.601266,-0.205153,-118.359985,151.985306,-60.340725,-0.74309,-0.085217,-0.221832,0.625576,-120.370605,119.093582,-54.192604,-0.774658,-0.186752,-0.19342,0.572379,-120.607666,96.791855,-48.966877,0.900844,0.212324,-0.06497,-0.373065,-15.858203,149.933884,104.143074,0.566612,-0.102704,0.137268,0.805953,-8.746472,118.366646,113.745842,0.654783,-0.026201,-0.032712,0.754654,-9.645986,92.681763,116.004456
0.05,0.758162,0.138631,0.603314,-0.204901,-118.288567,152.023819,-60.429214,-0.741804,-0.087511,-0.22409,0.625981,-120.346161,119.103775,-54.304417,-0.773933,-0.188365,-0.196771,0.571689,-120.631096,96.795441,-49.103703,0.901703,0.210154,-0.065082,-0.372197,-16.231312,149.881805,103.785469,0.563265,-0.102903,0.137622,0.80821,-9.153123,118.34903,113.518372,0.653331,-0.024971,-0.033549,0.755916,-10.022053,92.696457,115.884903
0.058,0.757762,0.138459,0.603816,-0.205019,-118.242302,152.040787,-60.460709,-0.741255,-0.087406,-0.225274,0.626221,-120.329643,119.115898,-54.396385,-0.772116,-0.190057,-0.198235,0.573078,-120.636559,96.800842,-49.235451,0.902579,0.207359,-0.064289,-0.37178,-16.558352,149.848358,103.451706,0.56283,-0.101834,0.136976,0.808758,-9.530358,118.334473,113.317909,0.650972,-0.0244,-0.033416,0.757973,-10.381022,92.690628,115.762123
0.066,0.756099,0.137057,0.606477,-0.204244,-118.206932,152.052048,-60.478497,-0.740648,-0.087254,-0.226531,0.626507,-120.310234,119.130768,-54.488338,-0.771602,-0.191384,-0.200026,0.572706,-120.656227,96.800323,-49.37326,0.903589,0.20447,-0.064062,-0.370966,-16.888096,149.808563,103.112564,0.559559,-0.101569,0.13849,0.810801,-9.919151,118.307205,113.098129,0.649922,-0.023717,-0.034936,0.758827,-10.741515,92.700195,115.639725
0.075,0.755522,0.13714,0.607483,-0.203333,-118.157028,152.067352,-60.503834,-0.739289,-0.088069,-0.228406,0.627316,-120.278168,119.152954,-54.587723,-0.771121,-0.19299,-0.203316,0.571656,-120.694717,96.812584,-49.514809,0.904484,0.20172,-0.06483,-0.370156,-17.290806,149.747162,102.724686,0.556682,-0.102284,0.137598,0.812841,-10.356742,118.296684,112.833488,0.646873,-0.02447,-0.035139,0.761395,-11.238552,92.644836,115.502609
0.083,0.755651,0.137939,0.606963,-0.203864,-118.070831,152.10376,-60.564804,-0.73747,-0.089166,-0.230405,0.62857,-120.247375,119.174507,-54.674225,-0.768419,-0.195908,-0.205323,0.573581,-120.691338,96.819061,-49.639816,0.905525,0.196683,-0.063768,-0.370504,-17.637924,149.727158,102.36731,0.555912,-0.101823,0.136999,0.813526,-10.779383,118.269035,112.596169,0.645979,-0.022628,-0.034822,0.762225,-11.683257,92.577698,115.367142
0.091,0.754373,0.136537,0.608895,-0.203778,-118.015793,152.122513,-60.585587,-0.736386,-0.089663,-0.232099,0.629148,-120.223297,119.196274,-54.752201,-0.76816,-0.195732,-0.208096,0.572988,-120.703552,96.826973,-49.762833,0.906407,0.193308,-0.063749,-0.370127,-17.993488,149.686264,102.000664,0.553603,-0.101933,0.137446,0.815011,-11.186819,118.240402,112.340546,0.648325,-0.016734,-0.04006,0.760125,-11.978606,92.636154,115.137306
0.1,0.752971,0.137463,0.609298,-0.207112,-117.937614,152.164627,-60.602398,-0.735946,-0.090275,-0.233457,0.629072,-120.186768,119.215477,-54.828995,-0.766904,-0.197432,-0.209488,0.57358,-120.684708,96.829765,-49.900959,0.907977,0.191267,-0.063322,-0.367404,-18.390894,149.631088,101.56665,0.550371,-0.102274,0.136985,0.817231,-11.678429,118.206314,112.040756,0.645155,-0.010678,-0.042226,0.762809,-12.435369,92.663818,114.881264
0.108,0.756245,0.132428,0.606331,-0.207168,-117.877541,152.202576,-60.687439,-0.735036,-0.091658,-0.235407,0.629209,-120.143196,119.232651,-54.912537,-0.765394,-0.200139,-0.211002,0.574103,-120.69693,96.842155,-50.019028,0.908918,0.188853,-0.062279,-0.366501,-18.747463,149.573364,101.177361,0.548539,-0.102465,0.135735,0.818646,-12.123397,118.179085,111.77063,0.640626,-0.009665,-0.044572,0.766498,-12.875973,92.634827,114.673317
0.116,0.760497,0.123506,0.602943,-0.207003,-117.866966,152.223999,-60.731922,-0.733718,-0.091121,-0.236456,0.630431,-120.100716,119.250023,-54.997871,-0.76478,-0.201141,-0.213093,0.573799,-120.710388,96.862267,-50.130497,0.909795,0.187006,-0.061989,-0.36532,-19.085464,149.518875,100.774231,0.549383,-0.100146,0.135125,0.818469,-12.518929,118.178749,111.477951,0.638427,-0.008721,-0.045379,0.768294,-13.336995,92.599487,114.472069
