Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0.091,0.76466,0.149241,0.577189,-0.244694,-73.487984,151.248398,-49.121033,-0.736297,-0.096293,-0.165275,0.649059,-73.646065,118.039299,-43.298241,-0.766701,-0.184357,-0.14302,0.598104,-71.906372,95.806511,-37.987282,0.955231,0.18286,0.101424,-0.209306,-11.863271,154.811829,76.292953,0.476788,-0.317636,0.194853,0.796124,-16.432526,123.769547,90.290199,0.588425,-0.267137,0.090758,0.757731,-23.113745,98.955086,93.182198
0.1,0.764447,0.14912,0.576731,-0.246507,-73.594963,151.245743,-49.054211,-0.735231,-0.095567,-0.16619,0.650141,-73.722816,118.027557,-43.312328,-0.766659,-0.185017,-0.143053,0.597945,-71.975105,95.787872,-38.013344,0.955374,0.182582,0.100863,-0.209166,-11.861022,154.857285,76.28891,0.478423,-0.316382,0.192844,0.796132,-16.421261,123.820259,90.314377,0.588667,-0.267397,0.090613,0.757469,-23.139704,99.01162,93.193146
0.108,0.764176,0.149295,0.576595,-0.247557,-73.667831,151.233765,-49.012543,-0.734629,-0.096062,-0.166198,0.650746,-73.779358,118.019608,-43.306431,-0.766306,-0.184471,-0.142728,0.598644,-72.013321,95.768417,-38.034241,0.955415,0.182502,0.100632,-0.209162,-11.868687,154.893814,76.286926,0.478554,-0.316105,0.19308,0.796106,-16.404066,123.850975,90.330521,0.58824,-0.267724,0.089306,0.75784,-23.18004,99.07296,93.216881
0.116,0.764338,0.149272,0.576141,-0.248127,-73.738342,151.220718,-48.974396,-0.73437,-0.097007,-0.164569,0.651313,-73.847389,117.996613,-43.300812,-0.765866,-0.184727,-0.14235,0.599217,-72.057793,95.75016,-38.054539,0.955731,0.181785,0.100342,-0.208478,-11.880813,154.928894,76.287109,0.477986,-0.316487,0.19284,0.796353,-16.396118,123.892044,90.348259,0.586974,-0.26911,0.089192,0.758344,-23.222157,99.132172,93.22924
0.125,0.763467,0.149253,0.576394,-0.250225,-73.834785,151.208481,-48.929199,-0.733786,-0.096793,-0.164839,0.651934,-73.916298,117.982925,-43.296429,-0.765395,-0.185048,-0.142045,0.599792,-72.117546,95.720146,-38.088093,0.955887,0.181057,0.099452,-0.208824,-11.899858,154.968811,76.294334,0.477758,-0.316955,0.193061,0.79625,-16.39797,123.929977,90.36438,0.586221,-0.271399,0.089995,0.758016,-23.267525,99.196114,93.229477
0.133,0.763447,0.14863,0.576213,-0.251071,-73.921326,151.202835,-48.865578,-0.733441,-0.095673,-0.165979,0.652198,-73.986473,117.970131,-43.298065,-0.765201,-0.184839,-0.142028,0.600108,-72.173996,95.698921,-38.116959,0.956072,0.18136,0.099548,-0.207667,-11.917737,154.995972,76.295891,0.476726,-0.318028,0.193806,0.79626,-16.409166,123.963188,90.378693,0.585579,-0.272769,0.08985,0.758038,-23.322702,99.247482,93.238518
0.141,0.763453,0.147873,0.57635,-0.251186,-73.988342,151.185471,-48.815483,-0.73363,-0.095867,-0.165941,0.651967,-74.0495,117.951622,-43.291534,-0.765151,-0.184635,-0.141717,0.600309,-72.223305,95.676926,-38.141651,0.956126,0.181779,0.099675,-0.206987,-11.935223,155.016022,76.296303,0.476053,-0.318966,0.194618,0.79609,-16.426786,123.995033,90.393707,0.584712,-0.274012,0.089719,0.758275,-23.379734,99.289757,93.248817
0.15,0.763551,0.1469,0.576487,-0.251142,-74.067215,151.167984,-48.767288,-0.734196,-0.095614,-0.164967,0.651613,-74.129349,117.920052,-43.284912,-0.764662,-0.184615,-0.14159,0.600967,-72.271301,95.652824,-38.169971,0.95614,0.182445,0.099834,-0.206258,-11.960855,155.03688,76.295273,0.474316,-0.320688,0.196105,0.796069,-16.459297,124.031746,90.413628,0.58356,-0.27584,0.08949,0.758526,-23.437521,99.329742,93.25914
0.158,0.763324,0.146541,0.576047,-0.253044,-74.168144,151.15419,-48.6889,-0.733976,-0.095499,-0.164846,0.651909,-74.190567,117.896141,-43.278465,-0.764041,-0.184726,-0.141314,0.601787,-72.311783,95.621132,-38.199356,0.956156,0.183048,0.100171,-0.205488,-11.988238,155.052322,76.294632,0.47464,-0.321241,0.19632,0.7956,-16.492039,124.057343,90.432739,0.586394,-0.275658,0.09002,0.756341,-23.479568,99.344315,93.255272
0.166,0.763185,0.146358,0.575746,-0.254253,-74.239319,151.131897,-48.63472,-0.733363,-0.095011,-0.164865,0.652665,-74.24398,117.872963,-43.271954,-0.763758,-0.185239,-0.14084,0.6021,-72.3554,95.591972,-38.226273,0.956179,0.18369,0.100413,-0.204688,-12.018053,155.063156,76.2967,0.474835,-0.321724,0.196793,0.795172,-16.529083,124.08091,90.450485,0.586372,-0.276412,0.090854,0.755983,-23.543236,99.371323,93.26532
